Day,Events
19661201,2
19661202,1
19661218,1
19661224,2
19670105,1
19670106,1
19670117,1
19670121,1
19670206,1
19671103,1
19670207,1
19670209,1
19670210,1
19670215,1
19670216,2
19670220,1
19670228,1
19670304,1
19670305,1
19670308,1
19670309,1
19670310,1
19670311,1
19670313,1
19670316,1
19670327,1
19670330,1
19670401,1
19670402,2
19670403,1
19670408,1
19670411,1
19670417,1
19670420,1
19670425,1
19670427,1
19670428,1
19670501,1
19670504,1
19670512,2
19670515,1
19670519,1
19670603,2
19670604,2
19670609,1
19670611,1
19670612,1
19670615,2
19671229,2
19670617,1
19670622,1
19670623,1
19670624,1
19670630,1
19670706,2
19670719,1
19670725,1
19670726,1
19670831,1
19670904,2
19670905,1
19670908,1
19671008,1
19671012,1
19671013,1
19671024,1
19671104,1
19671105,1
19671106,1
19671116,1
19671120,1
19671123,1
19671125,2
19671130,1
19671207,1
19671208,1
19671210,1
19671213,3
19671215,1
19671221,1
19671225,1
19671230,1
19671231,1
19680108,1
19680110,2
19680115,1
19680116,1
19680117,1
19680127,1
19680206,2
19680207,1
19680216,1
19680221,1
19680224,1
19680229,1
19680306,2
19680308,1
19680309,2
19680319,2
19680323,2
19680324,1
19680327,1
19680401,1
19680408,1
19680410,1
19680419,1
19680420,1
19680422,1
19680427,1
19680430,1
19680503,1
19680507,1
19680512,1
19680514,1
19680522,1
19680528,1
19680601,1
19680613,1
19680618,1
19680622,1
19680625,1
19680628,1
19680703,1
19680707,1
19680708,1
19680713,1
19680715,1
19680718,1
19680728,1
19680801,1
19680802,1
19680804,1
19680809,1
19680810,1
19690308,1
19680814,1
19680818,1
19680820,1
19680828,1
19680831,2
19680903,2
19680908,1
19680911,1
19680924,1
19680928,1
19681001,1
19681003,1
19681008,1
19681010,1
19681011,1
19681019,1
19681020,1
19681021,1
19681025,1
19681121,1
19681122,1
19681123,2
19681125,2
19681126,1
19681202,2
19681206,2
19681208,1
19681212,2
19681224,1
19681226,1
19681227,1
19690313,1
19681231,2
19690102,1
19690105,1
19690106,1
19690113,2
19690116,1
19690118,1
19690204,1
19690205,2
19690218,3
19690224,1
19690305,1
19690316,1
19690319,1
19690320,1
19690402,1
19690407,1
19690415,2
19690416,1
19690419,1
19690421,1
19690424,1
19690425,1
19690505,2
19690506,1
19690507,1
19690523,1
19690525,1
19690604,1
19690605,1
19690620,1
19690629,1
19690706,2
19690712,1
19690713,1
19690715,1
19690724,1
19690725,1
19690726,1
19690730,1
19690803,1
19690805,1
19690819,1
19690825,1
19690826,1
19691203,1
19691206,1
19690831,1
19690902,1
19690906,2
19690908,1
19690909,1
19690912,1
19690914,1
19690917,1
19690920,1
19690921,1
19690926,1
19691002,1
19691003,1
19691109,1
19691112,2
19691113,1
19691119,1
19691120,1
19691208,1
19691210,1
19691222,1
19691223,1
19700101,2
19700105,2
19700112,1
19700113,2
19700114,1
19700124,1
19700125,1
19700128,1
19700129,1
19700204,1
19700206,1
19700210,1
19700212,1
19700215,1
19700218,1
19700219,1
19700221,1
19700306,2
19700314,1
19700316,2
19700322,1
19700326,1
19700401,1
19700402,1
19700421,1
19700425,2
19700428,1
19700502,1
19700504,1
19700506,1
19700509,1
19700515,1
19700522,1
19700526,2
19700530,1
19700601,1
19700602,1
19700610,1
19700703,1
19700705,1
19700718,1
19700724,1
19700727,1
19700730,1
19700803,1
19700806,1
19700809,1
19700812,1
19700826,1
19700829,1
19700830,1
19700902,1
19700903,1
19700908,1
19700909,2
19700922,1
19700926,1
19700930,1
19701001,1
19701002,1
19701004,1
19701006,1
19701010,2
19701016,1
19701028,1
19701114,1
19701124,1
19701127,1
19701129,1
19701202,1
19701205,2
19701207,1
19701219,1
19701228,1
19701230,2
19701231,1
19710102,1
19710109,1
19710118,1
19710121,1
19710122,1
19881002,1
19710123,2
19710125,1
19710131,1
19710207,1
19710217,1
19710326,1
19710331,1
19710415,1
19710420,1
19710421,1
19710422,1
19710506,1
19710511,1
19710512,1
19710523,1
19710526,1
19710528,1
19710828,1
19711206,1
19710606,2
19710607,3
19710613,1
19710617,1
19710627,1
19710703,1
19710721,1
19710724,1
19710725,1
19710730,1
19710807,2
19710812,1
19710818,1
19710819,1
19711209,2
19710904,1
19710906,1
19710915,1
19710916,1
19710928,1
19711002,1
19711013,1
19711016,1
19711017,1
19711021,1
19711023,1
19711024,1
19711109,1
19711110,1
19711112,1
19711121,1
19711128,1
19711201,1
19711204,3
19910222,1
19711221,1
19711224,2
19720106,1
19720107,1
19720118,1
19720121,1
19720126,1
19720201,1
19720204,1
19720205,1
19720211,1
19720216,1
19720219,1
19720220,1
19720222,1
19720303,1
19720313,1
19720314,1
19720319,1
19720328,1
19720406,1
19720412,1
19720416,1
19720417,1
19720418,1
19720420,1
19720424,1
19720426,1
19720504,2
19720505,1
19720508,1
19720510,2
19720519,1
19720521,2
19720527,1
